[05:48:03] ==== 송파구 매물 수집 시작 ====
[05:48:03] 
📍 11710101 수집 시작
[05:48:04] 11710101 전체 매물: 641
[05:48:04] 11710101 offset=0 → 20개 (누적 20)
[05:48:06] 11710101 offset=20 → 20개 (누적 40)
[05:48:07] 11710101 offset=40 → 20개 (누적 60)
[05:48:09] 11710101 offset=60 → 20개 (누적 80)
[05:48:11] 11710101 offset=80 → 20개 (누적 100)
[05:48:12] 11710101 offset=100 → 20개 (누적 120)
[05:48:14] 11710101 offset=120 → 20개 (누적 140)
[05:48:15] 11710101 offset=140 → 20개 (누적 160)
[05:48:16] 11710101 offset=160 → 20개 (누적 180)
[05:48:18] 11710101 offset=180 → 20개 (누적 200)
[05:48:19] 11710101 offset=200 → 20개 (누적 220)
[05:48:21] 11710101 offset=220 → 20개 (누적 240)
[05:48:23] 11710101 offset=240 → 20개 (누적 260)
[05:48:24] 11710101 offset=260 → 20개 (누적 280)
[05:48:26] 11710101 offset=280 → 20개 (누적 300)
[05:48:27] 11710101 offset=300 → 20개 (누적 320)
[05:48:29] 11710101 offset=320 → 20개 (누적 340)
[05:48:31] 11710101 offset=340 → 20개 (누적 360)
[05:48:32] 11710101 offset=360 → 20개 (누적 380)
[05:48:34] 11710101 offset=380 → 20개 (누적 400)
[05:48:35] 11710101 offset=400 → 20개 (누적 420)
[05:48:37] 11710101 offset=420 → 20개 (누적 440)
[05:48:38] 11710101 offset=440 → 20개 (누적 460)
[05:48:40] 11710101 offset=460 → 20개 (누적 480)
[05:48:41] 11710101 offset=480 → 20개 (누적 500)
[05:48:43] 11710101 offset=500 → 20개 (누적 520)
[05:48:44] 11710101 offset=520 → 20개 (누적 540)
[05:48:46] 11710101 offset=540 → 20개 (누적 560)
[05:48:47] 11710101 offset=560 → 20개 (누적 580)
[05:48:49] 11710101 offset=580 → 20개 (누적 600)
[05:48:50] 11710101 offset=600 → 20개 (누적 620)
[05:48:52] 11710101 offset=620 → 20개 (누적 640)
[05:48:54] 11710101 offset=640 → 1개 (누적 641)
[05:48:54] 
📍 11710102 수집 시작
[05:48:54] 11710102 전체 매물: 693
[05:48:54] 11710102 offset=0 → 20개 (누적 20)
[05:48:55] 11710102 offset=20 → 20개 (누적 40)
[05:48:57] 11710102 offset=40 → 20개 (누적 60)
[05:48:58] 11710102 offset=60 → 20개 (누적 80)
[05:49:00] 11710102 offset=80 → 20개 (누적 100)
[05:49:01] 11710102 offset=100 → 20개 (누적 120)
[05:49:03] 11710102 offset=120 → 20개 (누적 140)
[05:49:04] 11710102 offset=140 → 20개 (누적 160)
[05:49:06] 11710102 offset=160 → 20개 (누적 180)
[05:49:08] 11710102 offset=180 → 20개 (누적 200)
[05:49:09] 11710102 offset=200 → 20개 (누적 220)
[05:49:10] 11710102 offset=220 → 20개 (누적 240)
[05:49:12] 11710102 offset=240 → 20개 (누적 260)
[05:49:14] 11710102 offset=260 → 20개 (누적 280)
[05:49:15] 11710102 offset=280 → 20개 (누적 300)
[05:49:17] 11710102 offset=300 → 20개 (누적 320)
[05:49:19] 11710102 offset=320 → 20개 (누적 340)
[05:49:21] 11710102 offset=340 → 20개 (누적 360)
[05:49:22] 11710102 offset=360 → 20개 (누적 380)
[05:49:24] 11710102 offset=380 → 20개 (누적 400)
[05:49:25] 11710102 offset=400 → 20개 (누적 420)
[05:49:26] 11710102 offset=420 → 20개 (누적 440)
[05:49:28] 11710102 offset=440 → 20개 (누적 460)
[05:49:29] 11710102 offset=460 → 20개 (누적 480)
[05:49:31] 11710102 offset=480 → 20개 (누적 500)
[05:49:32] 11710102 offset=500 → 20개 (누적 520)
[05:49:34] 11710102 offset=520 → 20개 (누적 540)
[05:49:36] 11710102 offset=540 → 20개 (누적 560)
[05:49:37] 11710102 offset=560 → 20개 (누적 580)
[05:49:39] 11710102 offset=580 → 20개 (누적 600)
[05:49:41] 11710102 offset=600 → 20개 (누적 620)
[05:49:42] 11710102 offset=620 → 20개 (누적 640)
[05:49:44] 11710102 offset=640 → 20개 (누적 660)
[05:49:46] 11710102 offset=660 → 20개 (누적 680)
[05:49:47] 11710102 offset=680 → 13개 (누적 693)
[05:49:47] 
📍 11710103 수집 시작
[05:49:47] 11710103 전체 매물: 643
[05:49:47] 11710103 offset=0 → 20개 (누적 20)
[05:49:49] 11710103 offset=20 → 20개 (누적 40)
[05:49:50] 11710103 offset=40 → 20개 (누적 60)
[05:49:52] 11710103 offset=60 → 20개 (누적 80)
[05:49:53] 11710103 offset=80 → 20개 (누적 100)
[05:49:55] 11710103 offset=100 → 20개 (누적 120)
[05:49:56] 11710103 offset=120 → 20개 (누적 140)
[05:49:57] 11710103 offset=140 → 20개 (누적 160)
[05:49:59] 11710103 offset=160 → 20개 (누적 180)
[05:50:00] 11710103 offset=180 → 20개 (누적 200)
[05:50:02] 11710103 offset=200 → 20개 (누적 220)
[05:50:04] 11710103 offset=220 → 20개 (누적 240)
[05:50:05] 11710103 offset=240 → 20개 (누적 260)
[05:50:07] 11710103 offset=260 → 20개 (누적 280)
[05:50:08] 11710103 offset=280 → 20개 (누적 300)
[05:50:10] 11710103 offset=300 → 20개 (누적 320)
[05:50:11] 11710103 offset=320 → 20개 (누적 340)
[05:50:13] 11710103 offset=340 → 20개 (누적 360)
[05:50:15] 11710103 offset=360 → 20개 (누적 380)
[05:50:16] 11710103 offset=380 → 20개 (누적 400)
[05:50:17] 11710103 offset=400 → 20개 (누적 420)
[05:50:19] 11710103 offset=420 → 20개 (누적 440)
[05:50:21] 11710103 offset=440 → 20개 (누적 460)
[05:50:22] 11710103 offset=460 → 20개 (누적 480)
[05:50:24] 11710103 offset=480 → 20개 (누적 500)
[05:50:25] 11710103 offset=500 → 20개 (누적 520)
[05:50:27] 11710103 offset=520 → 20개 (누적 540)
[05:50:28] 11710103 offset=540 → 20개 (누적 560)
[05:50:30] 11710103 offset=560 → 20개 (누적 580)
[05:50:31] 11710103 offset=580 → 20개 (누적 600)
[05:50:33] 11710103 offset=600 → 20개 (누적 620)
[05:50:35] 11710103 offset=620 → 20개 (누적 640)
[05:50:36] 11710103 offset=640 → 3개 (누적 643)
[05:50:36] 
📍 11710104 수집 시작
[05:50:36] 11710104 전체 매물: 847
[05:50:36] 11710104 offset=0 → 20개 (누적 20)
[05:50:38] 11710104 offset=20 → 20개 (누적 40)
[05:50:40] 11710104 offset=40 → 20개 (누적 60)
[05:50:41] 11710104 offset=60 → 20개 (누적 80)
[05:50:43] 11710104 offset=80 → 20개 (누적 100)
[05:50:44] 11710104 offset=100 → 20개 (누적 120)
[05:50:46] 11710104 offset=120 → 20개 (누적 140)
[05:50:48] 11710104 offset=140 → 20개 (누적 160)
[05:50:49] 11710104 offset=160 → 20개 (누적 180)
[05:50:51] 11710104 offset=180 → 20개 (누적 200)
[05:50:52] 11710104 offset=200 → 20개 (누적 220)
