수집시간,단지명,구,동,거래유형,층,면적(m2),평,보증금,월세,가격(억),타입,방향,매물ID,URL
2026-06-13 06:15:14,가락금호,송파구,가락동,매매,고,59.91,18.12,205000,0,20.5,25A,,49234023,https://www.zigbang.com/home/apt/items/49234023
2026-06-13 06:15:14,가락대림,송파구,가락동,매매,중,68.78,20.81,155000,0,15.5,27,,49270265,https://www.zigbang.com/home/apt/items/49270265
2026-06-13 06:15:14,가락대림,송파구,가락동,매매,중,84.11,25.44,176000,0,17.6,31,,49270335,https://www.zigbang.com/home/apt/items/49270335
2026-06-13 06:15:14,가락대림,송파구,가락동,매매,12,120.96,36.59,230000,0,23.0,44,,242752,https://www.zigbang.com/home/apt/items/242752
2026-06-13 06:15:14,가락삼환,송파구,가락동,매매,7,72.88,22.05,205000,0,20.5,28B,,49347769,https://www.zigbang.com/home/apt/items/49347769
2026-06-13 06:15:14,가락스타클래스,송파구,가락동,매매,고,84.93,25.69,170000,0,17.0,33B,,49348088,https://www.zigbang.com/home/apt/items/49348088
2026-06-13 06:15:14,가락스타클래스,송파구,가락동,매매,고,115.94,35.07,190000,0,19.0,45,,49348094,https://www.zigbang.com/home/apt/items/49348094
2026-06-13 06:15:14,가락쌍용1차,송파구,가락동,매매,6,59.92,18.13,195000,0,19.5,25,,237988,https://www.zigbang.com/home/apt/items/237988
2026-06-13 06:15:14,가락쌍용1차,송파구,가락동,매매,고,59.92,18.13,210000,0,21.0,25,,49234181,https://www.zigbang.com/home/apt/items/49234181
2026-06-13 06:15:14,가락쌍용1차,송파구,가락동,매매,2,84.69,25.62,240000,0,24.0,33,,207005,https://www.zigbang.com/home/apt/items/207005
2026-06-13 06:15:14,가락쌍용1차,송파구,가락동,매매,1,84.69,25.62,240000,0,24.0,33,,192136,https://www.zigbang.com/home/apt/items/192136
2026-06-13 06:15:14,가락쌍용1차,송파구,가락동,매매,중,84.69,25.62,250000,0,25.0,33,,46758501,https://www.zigbang.com/home/apt/items/46758501
2026-06-13 06:15:14,가락쌍용2차,송파구,가락동,매매,저,59.88,18.11,175000,0,17.5,25,,49262953,https://www.zigbang.com/home/apt/items/49262953
2026-06-13 06:15:14,가락쌍용2차,송파구,가락동,매매,17,59.88,18.11,185000,0,18.5,25,,49283373,https://www.zigbang.com/home/apt/items/49283373
2026-06-13 06:15:14,가락쌍용2차,송파구,가락동,매매,저,84.42,25.54,197000,0,19.7,33,,49262925,https://www.zigbang.com/home/apt/items/49262925
2026-06-13 06:15:14,가락쌍용2차,송파구,가락동,매매,중,84.42,25.54,200000,0,20.0,33,,49263034,https://www.zigbang.com/home/apt/items/49263034
2026-06-13 06:15:14,가락쌍용2차,송파구,가락동,매매,7,84.42,25.54,200000,0,20.0,33,,242553,https://www.zigbang.com/home/apt/items/242553
2026-06-13 06:15:14,가락풍림,송파구,가락동,매매,저,80.52,24.36,130000,0,13.0,32,,48770032,https://www.zigbang.com/home/apt/items/48770032
2026-06-13 06:15:14,가락현대(60동),송파구,가락동,매매,중,82.16,24.85,150000,0,15.0,28,,49348025,https://www.zigbang.com/home/apt/items/49348025
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,월세,중,59.9523,18.14,10000,360,1.0,24,,49347938,https://www.zigbang.com/home/apt/items/49347938
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,월세,11,84.9856,25.71,50000,300,5.0,34A,,49347940,https://www.zigbang.com/home/apt/items/49347940
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,월세,15,84.9862,25.71,50000,280,5.0,34B,,49347939,https://www.zigbang.com/home/apt/items/49347939
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,월세,중,74.9753,22.68,50000,200,5.0,30,,49032868,https://www.zigbang.com/home/apt/items/49032868
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,월세,9,84.9856,25.71,90000,100,9.0,34A,,48141811,https://www.zigbang.com/home/apt/items/48141811
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,저,74.9753,22.68,98000,0,9.8,30,,49347946,https://www.zigbang.com/home/apt/items/49347946
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,6,84.9273,25.69,105000,0,10.5,34C,,49347955,https://www.zigbang.com/home/apt/items/49347955
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,21,84.9856,25.71,105000,0,10.5,34A,,49347952,https://www.zigbang.com/home/apt/items/49347952
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,고,84.9862,25.71,105000,0,10.5,34B,,49347949,https://www.zigbang.com/home/apt/items/49347949
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,고,84.9856,25.71,110000,0,11.0,34A,,49347961,https://www.zigbang.com/home/apt/items/49347961
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,고,84.9273,25.69,110000,0,11.0,34C,,49347958,https://www.zigbang.com/home/apt/items/49347958
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,중,84.9856,25.71,115000,0,11.5,34A,,48141770,https://www.zigbang.com/home/apt/items/48141770
2026-06-13 06:15:14,더샵송파루미스타,송파구,가락동,전세,14,99.9989,30.25,129000,0,12.9,40,,49347964,https://www.zigbang.com/home/apt/items/49347964
2026-06-13 06:15:14,미륭,송파구,가락동,매매,3,60.72,18.37,180000,0,18.0,24,,49348063,https://www.zigbang.com/home/apt/items/49348063
2026-06-13 06:15:14,성원상떼빌,송파구,가락동,전세,7,117.16,35.44,110000,0,11.0,44,,49309994,https://www.zigbang.com/home/apt/items/49309994
2026-06-13 06:15:14,성원상떼빌,송파구,가락동,매매,9,101.52,30.71,150000,0,15.0,38,,236008,https://www.zigbang.com/home/apt/items/236008
2026-06-13 06:15:14,성원상떼빌,송파구,가락동,매매,7,117.16,35.44,165000,0,16.5,44,,243559,https://www.zigbang.com/home/apt/items/243559
2026-06-13 06:15:14,송파가락두산위브센티움,송파구,가락동,매매,10,33.1,10.01,27000,0,2.7,14B,,194494,https://www.zigbang.com/home/apt/items/194494
2026-06-13 06:15:14,송파동부센트레빌,송파구,가락동,월세,저,84.98,25.71,70000,120,7.0,32,,49157385,https://www.zigbang.com/home/apt/items/49157385
2026-06-13 06:15:14,한화오벨리스크,송파구,가락동,매매,20,25.32,7.66,18500,0,1.85,11,,213541,https://www.zigbang.com/home/apt/items/213541
2026-06-13 06:15:14,한화오벨리스크,송파구,가락동,매매,20,48.8,14.76,60000,0,6.0,21,,224644,https://www.zigbang.com/home/apt/items/224644
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,중,130.06,39.34,2000,700,0.2,49,,49263427,https://www.zigbang.com/home/apt/items/49263427
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,저,84.98,25.71,10000,470,1.0,33E,,49320493,https://www.zigbang.com/home/apt/items/49320493
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,중,84.98,25.71,10000,470,1.0,33G,,49263617,https://www.zigbang.com/home/apt/items/49263617
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,저,59.96,18.14,20000,350,2.0,25,,49151572,https://www.zigbang.com/home/apt/items/49151572
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,12,59.96,18.14,20000,350,2.0,25,,47616184,https://www.zigbang.com/home/apt/items/47616184
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,110.44,33.41,20000,550,2.0,43B,,49343871,https://www.zigbang.com/home/apt/items/49343871
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,저,84.98,25.71,30000,400,3.0,33K,,49302815,https://www.zigbang.com/home/apt/items/49302815
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,110.66,33.47,30000,600,3.0,42A,,49145079,https://www.zigbang.com/home/apt/items/49145079
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,59.96,18.14,30000,300,3.0,25,,47770850,https://www.zigbang.com/home/apt/items/47770850
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,84.99,25.71,30000,400,3.0,33D,,49343938,https://www.zigbang.com/home/apt/items/49343938
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,저,110.66,33.47,40000,500,4.0,42A,,48559300,https://www.zigbang.com/home/apt/items/48559300
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,중,59.96,18.14,50000,240,5.0,25,,49286653,https://www.zigbang.com/home/apt/items/49286653
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,중,84.99,25.71,50000,300,5.0,33D,,48633532,https://www.zigbang.com/home/apt/items/48633532
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,84.95,25.7,50000,320,5.0,33F,,49343918,https://www.zigbang.com/home/apt/items/49343918
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,49.22,14.89,60000,160,6.0,22D,,49296778,https://www.zigbang.com/home/apt/items/49296778
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,중,84.99,25.71,60000,250,6.0,33D,,48644184,https://www.zigbang.com/home/apt/items/48644184
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,고,84.98,25.71,70000,240,7.0,32A,,49157938,https://www.zigbang.com/home/apt/items/49157938
2026-06-13 06:15:14,헬리오시티,송파구,가락동,월세,저,84.99,25.71,70000,240,7.0,33D,,49343798,https://www.zigbang.com/home/apt/items/49343798
2026-06-13 06:15:14,헬리오시티,송파구,가락동,전세,중,39.1,11.83,80000,0,8.0,18A,,49303476,https://www.zigbang.com/home/apt/items/49303476
